@relation sentiment

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parantheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang_acronyms numeric
@attribute upper_case_words numeric
@attribute sentence_length numeric
@attribute token_length numeric
@attribute number_sentences numeric
@attribute class {0, 4}

@data
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,3.2,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4.0,8.66666666667,1,0
1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,13.0,3.33333333333,1,0
0,0,0,1,0,2,0,0,0,0,0,4,2,3,0,0,0,12.5,4.82608695652,2,0
1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,7.0,4.16666666667,2,0
1,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,4.0,4.8,3,0
2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0,2.875,1,0
3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,13,15.0,3.64285714286,1,0
1,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0,0,13.0,4.07692307692,1,0
1,0,0,2,2,0,0,1,0,0,1,5,0,0,0,0,0,7.0,3.78947368421,3,0
0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,4.33333333333,4.5,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,3.5,1,0
0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,5,16.0,2.66666666667,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9.0,4.0,1,0
4,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,8.0,3.68421052632,3,0
2,1,0,2,0,0,0,1,0,1,2,3,0,2,0,0,0,7.75,3.88461538462,4,0
2,0,1,0,2,0,1,0,0,0,0,7,0,1,1,0,0,5.5,3.88235294118,4,0
2,0,0,1,0,0,2,0,0,0,0,7,0,2,1,0,0,12.5,3.08695652174,2,0
3,1,0,0,2,0,1,0,0,0,0,15,0,0,0,2,2,7.0,3.06896551724,5,0
1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,7.0,3.81818181818,2,0
2,0,2,0,1,0,0,0,0,0,1,2,0,1,0,0,0,15.0,4.5,1,0
0,0,2,0,1,0,0,0,0,0,0,2,0,2,0,1,0,11.0,3.72727272727,1,0
2,0,2,2,0,0,0,0,0,0,0,4,1,2,0,0,0,21.0,3.95238095238,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,3.4,1,0
2,0,0,2,1,0,0,0,0,0,0,8,0,3,0,0,1,6.6,3.57142857143,5,0
1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.0,3.18181818182,1,0
0,3,0,2,1,0,0,0,0,0,2,6,1,0,0,0,0,5.5,4.21052631579,4,0
2,0,1,1,0,0,0,0,1,0,0,5,0,1,0,1,0,13.0,4.29166666667,2,0
0,0,0,1,0,0,1,0,0,0,0,2,2,0,2,0,0,20.0,4.05263157895,1,0
2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,6.0,3.66666666667,2,0
3,0,0,2,0,0,1,0,0,0,0,7,0,2,0,0,0,24.0,4.45454545455,1,0
3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5.66666666667,3.0,3,0
0,0,0,0,0,0,0,0,2,0,1,6,1,2,0,0,0,8.33333333333,5.63157894737,3,0
1,1,1,0,0,0,1,0,0,0,0,4,2,2,0,0,0,4.0,4.8,5,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5.0,3.6,1,0
