@relation sentiment

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parantheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang_acronyms numeric
@attribute upper_case_words numeric
@attribute sentence_length numeric
@attribute token_length numeric
@attribute number_sentences numeric
@attribute class {0, 4}

@data
0,0,0,0,1,0,0,0,0,0,0,1,3,3,0,0,0,11.0,4.27272727273,1,0
1,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,12.0,4.0,1,0
1,0,0,0,1,0,0,0,1,0,0,5,3,2,0,0,2,12.0,5.0,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.0,4.14285714286,1,0
1,0,0,0,0,0,0,1,0,0,3,9,0,2,0,0,2,21.0,4.125,1,0
1,1,0,0,2,0,1,0,0,0,0,4,0,2,0,0,0,5.66666666667,4.38461538462,3,0
2,1,2,2,2,0,0,0,0,0,0,7,0,2,0,0,0,13.5,4.0,2,0
2,0,0,1,0,0,2,0,0,0,0,3,0,1,0,1,0,5.66666666667,3.81818181818,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,5.0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4.0,5.22222222222,3,0
0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,14.0,4.07142857143,1,0
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,9.0,3.42857142857,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.0,3.6,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,5.0,1,0
1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4.5,2.42857142857,2,0
2,0,1,0,0,0,0,1,0,0,0,7,0,3,0,0,0,13.5,4.16666666667,2,0
1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,11.0,4.18181818182,1,0
2,0,2,0,3,0,0,0,0,0,0,6,0,0,1,0,0,13.0,3.65217391304,2,0
2,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,2,8.5,4.1875,2,0
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5.0,6.0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,8.0,4.28571428571,1,0
2,1,1,0,0,0,0,1,0,1,2,7,0,2,0,1,1,6.5,3.85,4,0
1,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,8.0,4.14285714286,2,0
0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,2,4.0,4.33333333333,3,0
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,7.0,6.28571428571,1,0
2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,10.0,4.42105263158,2,0
0,0,0,0,0,0,1,0,0,0,1,10,0,1,0,0,0,8.0,4.52380952381,3,0
0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,1,0,20.0,4.3,1,0
0,3,0,1,0,0,0,0,0,0,0,4,1,3,1,1,0,24.0,4.04347826087,1,0
0,1,1,0,0,0,1,0,0,0,0,8,0,1,0,1,0,10.5,4.05555555556,2,0
1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,11.0,3.4,1,0
1,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0,20.0,3.3125,1,0
