Using Bayes

N            Correct Preds     Accuracy

0500         171               47.6323 %
1000         190               52.9248 %
1500         194               54.039  %
2000         191               53.2033 %
2500         190               52.9248 %
3000         192               53.4819 %
3500         189               52.6462 %
4000         189               52.6462 %
4500         196               54.5961 %
5000         191               53.2033 %
5500         193               53.7604 %
